route_state,route_active,stable_tag_id,stable_count,route_action,handled_turn_tags,tag_corr_active,tag_corr_sent,tag_corr_raw_deg,tag_corr_cmd_deg,camera_x_offset_cm,agv_center_deviation_cm,tag_in_gate,tag_gate_dx_px,tag_gate_dy_px,tag_k_lat_deg_per_cm,tag_k_px_deg_per_px,tag_k_yaw,pending_turn_tag_id,pending_turn_command,turn_centered,turn_center_tolerance_px,turn_center_y_tolerance_px,turn_align_step_cm,turn_align_timeout_sec,move_rpm_command,pre_turn_slowdown_active,next_turn_tag_id,time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,raw_yaw_image_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
IDLE,0,1,1,,,0,0,,,0.000,0.009,1,0.999,24.427,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.005,1,1,1,1,0.009,0.999,0.00312,0.442,0.442,320.999,264.427,217.177,0.001,0.004,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,2,,,0,0,,,0.000,0.009,1,0.969,24.460,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.162,2,1,1,1,0.009,0.969,0.00303,0.449,0.449,320.969,264.460,217.206,0.001,0.161,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,3,,,0,0,,,0.000,0.009,1,0.979,24.455,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.204,3,1,1,1,0.009,0.979,0.00306,0.453,0.453,320.979,264.455,217.223,0.001,0.203,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,4,,,0,0,,,0.000,0.009,1,1.022,24.541,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.272,4,1,1,1,0.009,1.022,0.00319,0.437,0.437,321.022,264.541,217.269,0.001,0.271,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,5,,,0,0,,,0.000,0.008,1,0.895,24.169,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.340,5,1,1,1,0.008,0.895,0.00280,0.460,0.460,320.895,264.169,217.058,0.001,0.339,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,6,,,0,0,,,0.000,0.008,1,0.910,24.181,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.408,6,1,1,1,0.008,0.910,0.00284,0.451,0.451,320.910,264.181,217.040,0.001,0.407,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,7,,,0,0,,,0.000,0.009,1,0.980,24.497,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.472,7,1,1,1,0.009,0.980,0.00306,0.462,0.462,320.980,264.497,217.232,0.001,0.471,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,8,,,0,0,,,0.000,0.008,1,0.886,24.175,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.540,8,1,1,1,0.008,0.886,0.00277,0.452,0.452,320.886,264.175,217.028,0.001,0.539,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,9,,,0,0,,,0.000,0.009,1,1.001,24.498,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.608,9,1,1,1,0.009,1.001,0.00313,0.464,0.464,321.001,264.498,217.231,0.001,0.607,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,10,,,0,0,,,0.000,0.008,1,0.903,24.195,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.676,10,1,1,1,0.008,0.903,0.00282,0.462,0.462,320.903,264.195,217.019,0.001,0.675,STOPPED,,EVT:READY,,,,,,EVT:READY
