route_state,route_active,stable_tag_id,stable_count,route_action,handled_turn_tags,tag_corr_active,tag_corr_sent,tag_corr_raw_deg,tag_corr_cmd_deg,camera_x_offset_cm,agv_center_deviation_cm,tag_in_gate,tag_gate_dx_px,tag_gate_dy_px,tag_k_lat_deg_per_cm,tag_k_px_deg_per_px,tag_k_yaw,pending_turn_tag_id,pending_turn_command,turn_centered,turn_center_tolerance_px,turn_center_y_tolerance_px,turn_align_step_cm,turn_align_timeout_sec,move_rpm_command,pre_turn_slowdown_active,next_turn_tag_id,time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,raw_yaw_image_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
IDLE,0,1,18,,,0,0,,,0.000,0.068,1,7.336,2.460,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,1.245,18,1,1,1,0.068,7.336,0.02292,-0.009,-0.009,327.336,242.460,216.706,0.001,1.244,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,19,,,0,0,,,0.000,0.068,1,7.316,2.505,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,1.313,19,1,1,1,0.068,7.316,0.02286,-0.002,-0.002,327.316,242.505,216.704,0.001,1.312,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,20,,,0,0,,,0.000,0.067,1,7.262,2.416,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,1.381,20,1,1,1,0.067,7.262,0.02269,-0.025,-0.025,327.262,242.416,216.666,0.001,1.380,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,21,,,0,0,,,0.000,0.067,1,7.294,2.474,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,1.449,21,1,1,1,0.067,7.294,0.02279,-0.012,-0.012,327.294,242.474,216.689,0.001,1.448,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,22,,,0,0,,,0.000,0.068,1,7.320,2.510,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,1.513,22,1,1,1,0.068,7.320,0.02288,-0.030,-0.030,327.320,242.510,216.721,0.001,1.512,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,23,,,0,0,,,0.000,0.067,1,7.289,2.426,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,1.549,23,1,1,1,0.067,7.289,0.02278,-0.049,-0.049,327.289,242.426,216.667,0.001,1.548,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,24,,,0,0,,,0.000,0.067,1,7.294,2.546,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,1.617,24,1,1,1,0.067,7.294,0.02280,-0.059,-0.059,327.294,242.546,216.730,0.001,1.616,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,25,,,0,0,,,0.000,0.068,1,7.319,2.386,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,1.681,25,1,1,1,0.068,7.319,0.02287,0.006,0.006,327.319,242.386,216.641,0.001,1.680,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,26,,,0,0,,,0.000,0.067,1,7.256,2.406,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,1.749,26,1,1,1,0.067,7.256,0.02268,-0.046,-0.046,327.256,242.406,216.643,0.001,1.748,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,27,,,0,0,,,0.000,0.067,1,7.265,2.384,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,1.817,27,1,1,1,0.067,7.265,0.02270,-0.023,-0.023,327.265,242.384,216.645,0.001,1.816,STOPPED,,EVT:READY,,,,,,EVT:READY
