route_state,route_active,stable_tag_id,stable_count,route_action,handled_turn_tags,tag_corr_active,tag_corr_sent,tag_corr_raw_deg,tag_corr_cmd_deg,camera_x_offset_cm,agv_center_deviation_cm,tag_in_gate,tag_gate_dx_px,tag_gate_dy_px,tag_k_lat_deg_per_cm,tag_k_px_deg_per_px,tag_k_yaw,pending_turn_tag_id,pending_turn_command,turn_centered,turn_center_tolerance_px,turn_center_y_tolerance_px,turn_align_step_cm,turn_align_timeout_sec,move_rpm_command,pre_turn_slowdown_active,next_turn_tag_id,time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,raw_yaw_image_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
IDLE,0,1,1,,,0,0,,,0.000,0.026,1,2.852,-31.428,-1.000,-0.020,0.000,,,0,15.000,25.000,1.000,8.000,,0,,0.035,1,1,1,1,0.026,2.852,0.00891,0.262,0.262,322.852,208.572,216.001,0.001,0.034,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,2,,,0,0,,,0.000,0.026,1,2.852,-31.465,-1.000,-0.020,0.000,,,0,15.000,25.000,1.000,8.000,,0,,0.194,2,1,1,1,0.026,2.852,0.00891,0.263,0.263,322.852,208.535,215.988,0.001,0.193,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,3,,,0,0,,,0.000,0.026,1,2.859,-31.455,-1.000,-0.020,0.000,,,0,15.000,25.000,1.000,8.000,,0,,0.239,3,1,1,1,0.026,2.859,0.00893,0.256,0.256,322.859,208.545,215.997,0.001,0.238,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,4,,,0,0,,,0.000,0.026,1,2.845,-31.445,-1.000,-0.020,0.000,,,0,15.000,25.000,1.000,8.000,,0,,0.303,4,1,1,1,0.026,2.845,0.00889,0.266,0.266,322.845,208.555,215.987,0.001,0.302,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,5,,,0,0,,,0.000,0.026,1,2.843,-31.443,-1.000,-0.020,0.000,,,0,15.000,25.000,1.000,8.000,,0,,0.370,5,1,1,1,0.026,2.843,0.00888,0.261,0.261,322.843,208.557,216.018,0.001,0.369,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,6,,,0,0,,,0.000,0.026,1,2.861,-31.429,-1.000,-0.020,0.000,,,0,15.000,25.000,1.000,8.000,,0,,0.438,6,1,1,1,0.026,2.861,0.00894,0.265,0.265,322.861,208.571,216.004,0.001,0.437,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,7,,,0,0,,,0.000,0.026,1,2.839,-31.475,-1.000,-0.020,0.000,,,0,15.000,25.000,1.000,8.000,,0,,0.506,7,1,1,1,0.026,2.839,0.00887,0.257,0.257,322.839,208.525,215.969,0.001,0.505,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,8,,,0,0,,,0.000,0.026,1,2.856,-31.418,-1.000,-0.020,0.000,,,0,15.000,25.000,1.000,8.000,,0,,0.574,8,1,1,1,0.026,2.856,0.00892,0.266,0.266,322.856,208.582,216.015,0.001,0.573,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,9,,,0,0,,,0.000,0.026,1,2.861,-31.444,-1.000,-0.020,0.000,,,0,15.000,25.000,1.000,8.000,,0,,0.638,9,1,1,1,0.026,2.861,0.00894,0.260,0.260,322.861,208.556,216.017,0.001,0.637,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,10,,,0,0,,,0.000,0.026,1,2.858,-31.461,-1.000,-0.020,0.000,,,0,15.000,25.000,1.000,8.000,,0,,0.706,10,1,1,1,0.026,2.858,0.00893,0.259,0.259,322.858,208.539,215.984,0.001,0.705,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,11,,,0,0,,,0.000,0.026,1,2.844,-31.461,-1.000,-0.020,0.000,,,0,15.000,25.000,1.000,8.000,,0,,0.774,11,1,1,1,0.026,2.844,0.00889,0.263,0.263,322.844,208.539,215.994,0.001,0.773,STOPPED,,EVT:READY,,,,,,EVT:READY
