route_state,stable_tag_id,stable_count,route_action,handled_turn_tags,tag_corr_active,tag_corr_sent,tag_corr_raw_deg,tag_corr_cmd_deg,camera_x_offset_cm,agv_center_deviation_cm,tag_in_gate,tag_gate_dx_px,tag_gate_dy_px,tag_k_lat_deg_per_cm,tag_k_px_deg_per_px,tag_k_yaw,pending_turn_tag_id,pending_turn_command,time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,raw_yaw_image_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.332,46.589,-1.000,0.020,0.000,,,2.015,30,1,1,3,-0.022,-2.332,-0.00729,0.820,0.820,317.668,286.589,208.812,0.001,2.014,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.332,46.608,-1.000,0.020,0.000,,,2.083,31,1,1,3,-0.022,-2.332,-0.00729,0.824,0.824,317.668,286.608,208.811,0.001,2.082,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,3,,,0,0,,,0.000,-0.022,1,-2.315,46.569,-1.000,0.020,0.000,,,2.151,32,1,1,3,-0.022,-2.315,-0.00723,0.821,0.821,317.685,286.569,208.820,0.001,2.150,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,4,,,0,0,,,0.000,-0.022,1,-2.329,46.594,-1.000,0.020,0.000,,,2.219,33,1,1,3,-0.022,-2.329,-0.00728,0.822,0.822,317.671,286.594,208.789,0.001,2.218,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,5,,,0,0,,,0.000,-0.022,1,-2.322,46.593,-1.000,0.020,0.000,,,2.283,34,1,1,3,-0.022,-2.322,-0.00726,0.824,0.824,317.678,286.593,208.789,0.001,2.282,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.323,46.605,-1.000,0.020,0.000,,,2.387,36,1,1,3,-0.022,-2.323,-0.00726,0.820,0.820,317.677,286.605,208.823,0.001,2.386,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.332,46.609,-1.000,0.020,0.000,,,2.451,37,1,1,3,-0.022,-2.332,-0.00729,0.823,0.823,317.668,286.609,208.827,0.001,2.450,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,3,,,0,0,,,0.000,-0.022,1,-2.312,46.619,-1.000,0.020,0.000,,,2.519,38,1,1,3,-0.022,-2.312,-0.00722,0.820,0.820,317.688,286.619,208.805,0.001,2.518,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.333,46.590,-1.000,0.020,0.000,,,2.787,42,1,1,3,-0.022,-2.333,-0.00729,0.825,0.825,317.667,286.590,208.830,0.001,2.786,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.310,46.590,-1.000,0.020,0.000,,,2.855,43,1,1,3,-0.022,-2.310,-0.00722,0.818,0.818,317.690,286.590,208.830,0.001,2.854,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.334,46.587,-1.000,0.020,0.000,,,2.991,45,1,1,3,-0.022,-2.334,-0.00729,0.827,0.827,317.666,286.587,208.822,0.001,2.990,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.325,46.602,-1.000,0.020,0.000,,,3.059,46,1,1,3,-0.022,-2.325,-0.00727,0.832,0.832,317.675,286.602,208.830,0.001,3.058,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,3,,,0,0,,,0.000,-0.022,1,-2.324,46.598,-1.000,0.020,0.000,,,3.123,47,1,1,3,-0.022,-2.324,-0.00726,0.823,0.823,317.676,286.598,208.787,0.001,3.122,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.299,46.599,-1.000,0.020,0.000,,,3.391,51,1,1,3,-0.022,-2.299,-0.00718,0.818,0.818,317.701,286.599,208.869,0.001,3.390,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.336,46.604,-1.000,0.020,0.000,,,3.459,52,1,1,3,-0.022,-2.336,-0.00730,0.828,0.828,317.664,286.604,208.802,0.001,3.458,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,3,,,0,0,,,0.000,-0.022,1,-2.311,46.607,-1.000,0.020,0.000,,,3.527,53,1,1,3,-0.022,-2.311,-0.00722,0.822,0.822,317.689,286.607,208.822,0.001,3.526,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,4,,,0,0,,,0.000,-0.022,1,-2.340,46.595,-1.000,0.020,0.000,,,3.596,54,1,1,3,-0.022,-2.340,-0.00731,0.829,0.829,317.660,286.595,208.818,0.001,3.595,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,5,,,0,0,,,0.000,-0.022,1,-2.323,46.616,-1.000,0.020,0.000,,,3.664,55,1,1,3,-0.022,-2.323,-0.00726,0.824,0.824,317.677,286.616,208.807,0.001,3.663,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,6,,,0,0,,,0.000,-0.022,1,-2.320,46.588,-1.000,0.020,0.000,,,3.728,56,1,1,3,-0.022,-2.320,-0.00725,0.822,0.822,317.680,286.588,208.835,0.001,3.727,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.305,46.577,-1.000,0.020,0.000,,,3.863,58,1,1,3,-0.022,-2.305,-0.00720,0.823,0.823,317.695,286.577,208.819,0.001,3.862,STOPPED,,EVT:READY,,,,,,EVT:READY
