route_state,stable_tag_id,stable_count,route_action,handled_turn_tags,tag_corr_active,tag_corr_sent,tag_corr_raw_deg,tag_corr_cmd_deg,camera_x_offset_cm,agv_center_deviation_cm,tag_in_gate,tag_gate_dx_px,tag_gate_dy_px,tag_k_lat_deg_per_cm,tag_k_px_deg_per_px,tag_k_yaw,pending_turn_tag_id,pending_turn_command,time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,raw_yaw_image_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
IDLE,3,1,,,0,0,,,0.000,-1.967,0,-194.912,-1.209,-1.000,0.020,0.250,,,6.113,92,1,1,3,-1.967,-194.912,-0.60910,-1.134,-1.134,125.088,238.791,198.160,0.002,6.111,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-1.655,0,-165.012,-11.187,-1.000,0.020,0.250,,,6.181,93,1,1,3,-1.655,-165.012,-0.51566,-0.975,-0.975,154.988,228.813,199.368,0.002,6.179,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,3,,,0,0,,,0.000,-1.453,1,-146.125,-15.468,-1.000,0.020,0.250,,,6.249,94,1,1,3,-1.453,-146.125,-0.45664,-1.183,-1.183,173.875,224.532,201.092,0.002,6.247,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,4,,,0,0,,,0.000,-1.364,1,-137.666,-11.560,-1.000,0.020,0.250,,,6.317,95,1,1,3,-1.364,-137.666,-0.43021,-1.178,-1.178,182.334,228.440,201.847,0.002,6.315,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,5,,,0,0,,,0.000,-1.300,1,-131.580,-2.334,-1.000,0.020,0.250,,,6.381,96,1,1,3,-1.300,-131.580,-0.41119,-1.163,-1.163,188.420,237.666,202.358,0.002,6.379,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,6,,,0,0,,,0.000,-1.225,1,-124.239,8.009,-1.000,0.020,0.250,,,6.449,97,1,1,3,-1.225,-124.239,-0.38825,-1.156,-1.156,195.761,248.009,202.792,0.002,6.447,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,7,,,0,0,,,0.000,-1.131,1,-114.992,17.206,-1.000,0.020,0.250,,,6.517,98,1,1,3,-1.131,-114.992,-0.35935,-1.047,-1.047,205.008,257.206,203.323,0.002,6.515,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,8,,,0,0,,,0.000,-1.053,1,-107.420,23.748,-1.000,0.020,0.250,,,6.585,99,1,1,3,-1.053,-107.420,-0.33569,-0.899,-0.899,212.580,263.748,203.964,0.002,6.583,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,9,,,0,0,,,0.000,-1.035,1,-105.681,25.997,-1.000,0.020,0.250,,,6.649,100,1,1,3,-1.035,-105.681,-0.33025,-0.871,-0.871,214.319,265.997,204.155,0.002,6.647,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-1.036,1,-105.754,22.949,-1.000,0.020,0.250,,,6.753,102,1,1,3,-1.036,-105.754,-0.33048,-0.898,-0.898,214.246,262.949,204.095,0.002,6.751,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-1.037,1,-105.890,23.206,-1.000,0.020,0.250,,,6.817,103,1,1,3,-1.037,-105.890,-0.33091,-0.904,-0.904,214.110,263.206,204.145,0.002,6.815,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,3,,,0,0,,,0.000,-1.038,1,-105.929,22.908,-1.000,0.020,0.250,,,6.885,104,1,1,3,-1.038,-105.929,-0.33103,-0.921,-0.921,214.071,262.908,204.102,0.002,6.883,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,4,,,0,0,,,0.000,-1.038,1,-105.960,22.399,-1.000,0.020,0.250,,,6.953,105,1,1,3,-1.038,-105.960,-0.33112,-0.986,-0.986,214.040,262.399,204.095,0.002,6.951,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,5,,,0,0,,,0.000,-1.041,1,-106.177,22.153,-1.000,0.020,0.250,,,7.021,106,1,1,3,-1.041,-106.177,-0.33180,-0.993,-0.993,213.823,262.153,203.988,0.002,7.019,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,6,,,0,0,,,0.000,-1.040,1,-106.148,21.880,-1.000,0.020,0.250,,,7.091,107,1,1,3,-1.040,-106.148,-0.33171,-0.966,-0.966,213.852,261.880,204.092,0.002,7.089,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,7,,,0,0,,,0.000,-1.037,1,-105.857,22.573,-1.000,0.020,0.250,,,7.153,108,1,1,3,-1.037,-105.857,-0.33080,-0.955,-0.955,214.143,262.573,204.108,0.002,7.151,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,8,,,0,0,,,0.000,-1.037,1,-105.870,24.647,-1.000,0.020,0.250,,,7.221,109,1,1,3,-1.037,-105.870,-0.33084,-0.951,-0.951,214.130,264.647,204.146,0.002,7.219,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,9,,,0,0,,,0.000,-1.038,1,-105.937,28.091,-1.000,0.020,0.250,,,7.289,110,1,1,3,-1.038,-105.937,-0.33105,-0.974,-0.974,214.063,268.091,204.189,0.002,7.287,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,10,,,0,0,,,0.000,-1.032,1,-105.385,32.974,-1.000,0.020,0.250,,,7.357,111,1,1,3,-1.032,-105.385,-0.32933,-0.950,-0.950,214.615,272.974,204.327,0.002,7.355,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,11,,,0,0,,,0.000,-0.975,1,-99.721,38.637,-1.000,0.020,0.250,,,7.425,112,1,1,3,-0.975,-99.721,-0.31163,-0.873,-0.873,220.279,278.637,204.543,0.002,7.423,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,12,,,0,0,,,0.000,-0.892,1,-91.458,44.202,-1.000,0.020,0.250,,,7.489,113,1,1,3,-0.892,-91.458,-0.28581,-0.661,-0.661,228.542,284.202,205.004,0.002,7.487,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.460,1,-47.591,72.465,-1.000,0.020,0.250,,,7.893,119,1,1,3,-0.460,-47.591,-0.14872,-0.166,-0.166,272.409,312.465,207.035,0.002,7.891,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.389,1,-40.421,79.530,-1.000,0.020,0.250,,,7.961,120,1,1,3,-0.389,-40.421,-0.12632,-0.088,-0.088,279.579,319.530,207.877,0.002,7.959,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,3,,,0,0,,,0.000,-0.393,1,-40.841,81.508,-1.000,0.020,0.250,,,8.029,121,1,1,3,-0.393,-40.841,-0.12763,-0.034,-0.034,279.159,321.508,207.843,0.002,8.027,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,4,,,0,0,,,0.000,-0.393,1,-40.826,78.102,-1.000,0.020,0.250,,,8.093,122,1,1,3,-0.393,-40.826,-0.12758,-0.181,-0.181,279.174,318.102,207.836,0.002,8.091,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,5,,,0,0,,,0.000,-0.391,1,-40.646,72.777,-1.000,0.020,0.250,,,8.161,123,1,1,3,-0.391,-40.646,-0.12702,-0.259,-0.259,279.354,312.777,207.753,0.002,8.159,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,6,,,0,0,,,0.000,-0.391,1,-40.565,69.522,-1.000,0.020,0.250,,,8.229,124,1,1,3,-0.391,-40.565,-0.12676,-0.389,-0.389,279.435,309.522,207.725,0.002,8.227,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,7,,,0,0,,,0.000,-0.392,1,-40.697,70.152,-1.000,0.020,0.250,,,8.297,125,1,1,3,-0.392,-40.697,-0.12718,-0.324,-0.324,279.303,310.152,207.766,0.002,8.295,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,8,,,0,0,,,0.000,-0.392,1,-40.705,71.217,-1.000,0.020,0.250,,,8.361,126,1,1,3,-0.392,-40.705,-0.12720,-0.292,-0.292,279.295,311.217,207.734,0.002,8.359,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,9,,,0,0,,,0.000,-0.390,1,-40.484,71.434,-1.000,0.020,0.250,,,8.397,127,1,1,3,-0.390,-40.484,-0.12651,-0.346,-0.346,279.516,311.434,207.788,0.002,8.396,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,10,,,0,0,,,0.000,-0.391,1,-40.578,72.913,-1.000,0.020,0.250,,,8.465,128,1,1,3,-0.391,-40.578,-0.12681,-0.226,-0.226,279.422,312.913,207.795,0.002,8.463,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.388,1,-40.297,76.103,-1.000,0.020,0.250,,,8.597,130,1,1,3,-0.388,-40.297,-0.12593,-0.228,-0.228,279.703,316.103,207.871,0.002,8.595,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.388,1,-40.301,76.788,-1.000,0.020,0.250,,,8.665,131,1,1,3,-0.388,-40.301,-0.12594,-0.235,-0.235,279.699,316.788,207.871,0.002,8.663,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.381,1,-39.568,77.268,-1.000,0.020,0.250,,,8.801,133,1,1,3,-0.381,-39.568,-0.12365,-0.264,-0.264,280.432,317.268,207.939,0.002,8.799,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.076,1,-7.917,79.797,-1.000,0.020,0.250,,,9.069,137,1,1,3,-0.076,-7.917,-0.02474,-0.146,-0.146,312.083,319.797,209.320,0.002,9.067,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.079,1,-8.216,79.941,-1.000,0.020,0.250,,,9.133,138,1,1,3,-0.079,-8.216,-0.02568,-0.127,-0.127,311.784,319.941,209.326,0.002,9.131,STOPPED,,EVT:READY,,,,,,EVT:READY
