time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,raw_yaw_image_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
1.797,1,1,1,0,-0.066,-4.613,-0.01442,0.644,-179.356,315.387,227.516,208.374,0.001,1.796,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
1.935,2,1,1,0,-0.065,-4.531,-0.01416,0.659,-179.341,315.469,227.526,208.425,0.001,1.934,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
1.946,3,1,1,0,-0.066,-4.589,-0.01434,0.646,-179.354,315.411,227.517,208.421,0.001,1.945,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
1.960,4,1,1,0,-0.066,-4.562,-0.01426,0.654,-179.346,315.438,227.519,208.428,0.001,1.960,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
1.973,5,1,1,0,-0.067,-4.639,-0.01450,0.660,-179.340,315.361,227.506,208.418,0.001,1.972,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
1.996,6,1,1,0,-0.066,-4.609,-0.01440,0.629,-179.371,315.391,227.507,208.456,0.001,1.995,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.032,7,1,1,0,-0.066,-4.564,-0.01426,0.663,-179.337,315.436,227.564,208.428,0.001,2.031,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.064,8,1,1,0,-0.066,-4.591,-0.01435,0.637,-179.363,315.409,227.566,208.434,0.001,2.063,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.096,9,1,1,0,-0.066,-4.555,-0.01423,0.643,-179.357,315.445,227.494,208.417,0.001,2.095,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.132,10,1,1,0,-0.066,-4.590,-0.01435,0.653,-179.347,315.410,227.480,208.443,0.001,2.131,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
