time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,raw_yaw_image_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
2.391,1,0,0,,,,,,,,,,2.353,0.038,STOPPED,,EVT:READY,,,,,,EVT:READY
2.575,2,0,0,,,,,,,,,,2.353,0.222,STOPPED,,EVT:READY,,,,,,EVT:READY
2.625,3,0,0,,,,,,,,,,2.353,0.272,STOPPED,,EVT:READY,,,,,,EVT:READY
2.757,4,0,0,,,,,,,,,,2.353,0.404,STOPPED,,EVT:READY,,,,,,EVT:READY
2.826,5,0,0,,,,,,,,,,2.353,0.473,STOPPED,,EVT:READY,,,,,,EVT:READY
2.893,6,0,0,,,,,,,,,,2.353,0.540,STOPPED,,EVT:READY,,,,,,EVT:READY
2.961,7,0,0,,,,,,,,,,2.353,0.608,STOPPED,,EVT:READY,,,,,,EVT:READY
3.026,8,0,0,,,,,,,,,,2.353,0.673,STOPPED,,EVT:READY,,,,,,EVT:READY
3.093,9,0,0,,,,,,,,,,2.353,0.740,STOPPED,,EVT:READY,,,,,,EVT:READY
3.161,10,0,0,,,,,,,,,,2.353,0.808,STOPPED,,EVT:READY,,,,,,EVT:READY
3.229,11,0,0,,,,,,,,,,2.353,0.876,STOPPED,,EVT:READY,,,,,,EVT:READY
3.293,12,0,0,,,,,,,,,,2.353,0.940,STOPPED,,EVT:READY,,,,,,EVT:READY
3.361,13,0,0,,,,,,,,,,2.353,1.008,STOPPED,,EVT:READY,,,,,,EVT:READY
3.429,14,0,0,,,,,,,,,,2.353,1.076,STOPPED,,EVT:READY,,,,,,EVT:READY
3.497,15,0,0,,,,,,,,,,2.353,1.144,STOPPED,,EVT:READY,,,,,,EVT:READY
3.565,16,0,0,,,,,,,,,,2.353,1.212,STOPPED,,EVT:READY,,,,,,EVT:READY
3.630,17,0,0,,,,,,,,,,2.353,1.277,STOPPED,,EVT:READY,,,,,,EVT:READY
